name,type_genre,location,recent_project,website,public_contact,social,interest_reason,opening_line,lead_temperature
"Victoria Warmerdam","Short film, dark comedy, sci-fi","Amsterdam, Netherlands","I'm Not a Robot","https://100prcnt.film/directors/victoria-warmerdam","via 100% enquiries","https://nl.linkedin.com/in/victoria-warmerdam-2369a727a","Strong blend of absurdism, technology and suspense; relevant for composer and sound-design outreach.","Je balans tussen ongemakkelijke humor en existentiële spanning in I'm Not a Robot bleef hangen.","medium"
"Emma Branderhorst","Drama, social realism, commercials","Amsterdam, Netherlands","Piece of Me; Ma Mere et Moi","https://www.emmabranderhorst.com/","official contact page","https://www.instagram.com/emmabranderhorst/","Emotional young-character stories where subtle music can carry social themes.","Je manier om grote thema's heel intiem te maken spreekt me muzikaal enorm aan.","warm"
"Mees Peijnenburg","Feature, youth drama, commercials","London / Netherlands","A Family","https://meespeijnenburg.com/portfolio/contact","official contact page / 100%","https://www.instagram.com/meespeijnenburg/","Poetic visual films with space for score and sound texture.","De kwetsbare toon in je werk voelt alsof muziek vooral onderhuids moet bewegen.","medium"
"Sam de Jong","Feature film, commercials, music video","Amsterdam, Netherlands","Joe Speedboat","https://samdejong.com/contact/","official contact page / 100%","https://www.instagram.com/sammiedejong/","Works across film, brands and music culture; strong fit for producer-led outreach.","Ik vind hoe je straatenergie en poëzie combineert in beeld heel interessant voor sound.","medium"
"Noel Loozen","Short film, absurdist comedy, commercials","Amsterdam, Netherlands","De Dijk visual poem; Odido campaigns","https://noelloozen.com/","official site / management","https://www.instagram.com/noelloozen/","Dry humor and small worlds need precise sonic timing.","Je stille absurditeit voelt als een stijl waar geluid net zo veel kan zeggen als dialoog.","warm"
"Michael Middelkoop","Comedy-drama, series, genre","Amsterdam, Netherlands","Dit Is Geen Kerstfilm","https://100prcnt.film/directors/michael-middelkoop","via 100% enquiries","https://www.instagram.com/michaelmiddelkoop/","Combines popular culture, genre and social themes; accessible through Dutch industry channels.","Je werk schakelt knap tussen herkenbaar en ontregelend; precies waar sound veel kan doen.","warm"
"Camille Boumans","Commercials, fashion, youth culture","Amsterdam, Netherlands","Young Guns 2024; recent campaigns","https://www.camilleboumans.com/","official site / 100%","https://www.instagram.com/camilleboumans/","Director-editor with strong rhythm sense; good fit for music-led work.","Je montagegevoel en rauwe visuele energie lijken me heel geschikt voor een muzikale benadering.","warm"
"Emmanuel Adjei","Music film, visual art, commercials","Amsterdam / Los Angeles","Black Is King related creative work","https://www.emmanueladjei.com/Contact","official contact page","https://www.instagram.com/emmanueladjei_/","Large musical and atmospheric visual universe; high fit but high-profile.","Je werk voelt gebouwd vanuit beeld én klank; dat raakvlak spreekt me direct aan.","cold"
"Mea Dols de Jong","Documentary, human stories","Amsterdam, Netherlands","Hidden","https://100prcnt.film/directors/mea-dols-de-jong","via 100% enquiries","https://www.instagram.com/meadols/","Intimate documentary practice with emotional nuance and room for restrained sound.","Je documentaires hebben een menselijkheid waar subtiele soundscapes veel verdieping kunnen geven.","warm"
"Zara Dwinger","Feature, youth, stylized drama","Amsterdam, Netherlands","Kiddo; Sirene","https://zaradwinger.com/","official site / Vimeo","https://www.instagram.com/zaragina/","Distinct festival voice with commercial and music-video crossover.","De speelse melancholie van Kiddo voelt als een wereld waar muziek organisch in kan ademen.","warm"
